"episode_name","Ken Kwapis","Guest","Greg Daniels","B.J. Novak","Paul Lieberstein","Mindy Kaling","Paul Feig","Gene Stupnitsky","Lee Eisenberg","Jennifer Celotta","Randall Einhorn","Brent Forrester","Jeffrey Blitz","Justin Spitzer"
"Pilot",1,1,1,0,0,0,0,0,0,0,0,0,0,0
"Diversity Day",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Health Care",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"The Alliance",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Basketball",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Hot Girl",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"The Dundies",0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Sexual Harassment",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Office Olympics",0,1,0,0,0,0,1,0,0,0,0,0,0,0
"The Fire",1,0,0,1,0,0,0,0,0,0,0,0,0,0
"Halloween",0,0,1,0,0,0,1,0,0,0,0,0,0,0
"The Fight",1,0,0,0,0,0,0,1,1,0,0,0,0,0
"The Client",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Performance Review",0,1,0,0,0,0,1,0,0,0,0,0,0,0
"E-Mail Surveilance",0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Christmas Party",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Booze Cruise",1,0,1,0,0,0,0,0,0,0,0,0,0,0
"The Injury",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"The Secret",0,1,0,0,0,0,0,1,1,0,0,0,0,0
"The Carpet",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Boys & Girls",0,1,0,1,0,0,0,0,0,0,0,0,0,0
"Valentine's Day",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Dwight's Speech",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"Take Your Daughter to Work Day",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Michael's Birthday",0,1,0,0,0,0,0,1,1,0,0,0,0,0
"Drug Testing",0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Conflict Resolution",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Casino Night",0,1,1,0,0,0,0,0,0,0,0,0,0,0
"Gay Witch Hunt",1,0,1,0,0,0,0,0,0,0,0,0,0,0
"The Convention",0,1,0,0,0,0,0,1,1,0,0,0,0,0
"The Coup",0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Grief Counseling",0,1,0,0,0,0,0,0,0,1,0,0,0,0
"Initiation",0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Diwali",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"Branch Closing",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"The Merger",0,1,0,0,0,0,0,0,0,0,0,1,0,0
"The Convict",0,1,0,0,0,0,0,0,0,0,0,0,1,0
