"episode_name","season","imdb_rating","total_votes","air_date"
"Pilot",1,7.6,3706,"2005-03-24"
"Diversity Day",1,8.3,3566,"2005-03-29"
"Health Care",1,7.9,2983,"2005-04-05"
"The Alliance",1,8.1,2886,"2005-04-12"
"Basketball",1,8.4,3179,"2005-04-19"
"Hot Girl",1,7.8,2852,"2005-04-26"
"The Dundies",2,8.7,3213,"2005-09-20"
"Sexual Harassment",2,8.2,2736,"2005-09-27"
"Office Olympics",2,8.4,2742,"2005-10-04"
"The Fire",2,8.4,2713,"2005-10-11"
"Halloween",2,8.2,2561,"2005-10-18"
"The Fight",2,8.2,2550,"2005-11-01"
"The Client",2,8.6,2631,"2005-11-08"
"Performance Review",2,8.2,2416,"2005-11-15"
"E-Mail Surveilance",2,8.4,2527,"2005-11-22"
"Christmas Party",2,8.8,2755,"2005-12-06"
"Booze Cruise",2,8.6,2679,"2006-01-05"
"The Injury",2,9,3282,"2006-01-12"
"The Secret",2,8.3,2363,"2006-01-19"
"The Carpet",2,7.9,2342,"2006-01-26"
"Boys & Girls",2,8.2,2323,"2006-02-02"
"Valentine's Day",2,8.3,2345,"2006-02-09"
"Dwight's Speech",2,8.4,2463,"2006-03-02"
"Take Your Daughter to Work Day",2,8.3,2415,"2006-03-16"
"Michael's Birthday",2,8.1,2337,"2006-03-30"
"Drug Testing",2,8.4,2397,"2006-04-27"
"Conflict Resolution",2,8.7,2440,"2006-05-04"
"Casino Night",2,9.3,3644,"2006-05-11"
"Gay Witch Hunt",3,8.9,3087,"2006-09-21"
"The Convention",3,8.2,2275,"2006-09-28"
"The Coup",3,8.5,2388,"2006-10-05"
"Grief Counseling",3,8,2311,"2006-10-12"
"Initiation",3,8.2,2254,"2006-10-19"
"Diwali",3,8,2320,"2006-11-02"
"Branch Closing",3,8.5,2260,"2006-11-09"
"The Merger",3,8.7,2376,"2006-11-16"
"The Convict",3,8.2,2373,"2006-11-30"
"A Benihana Christmas (Parts 1&2)",3,8.7,2541,"2006-12-14"
"Back from Vacation",3,8.5,2255,"2007-01-04"
"Traveling Salesmen",3,8.6,2316,"2007-01-11"
"The Return",3,8.8,2430,"2007-01-18"
"Ben Franklin",3,8.2,2254,"2007-02-01"
"Phyllis' Wedding",3,8.3,2283,"2007-02-08"
"Business School",3,8.8,2622,"2007-02-15"
"Cocktails",3,8.5,2264,"2007-02-22"
"The Negotiation",3,8.9,2555,"2007-04-05"
"Safety Training",3,8.8,2424,"2007-04-12"
"Product Recall",3,8.7,2409,"2007-04-26"
"Women's Appreciation",3,8.8,2403,"2007-05-03"
"Beach Games",3,9.1,2783,"2007-05-10"
"The Job (Parts 1&2)",3,9.3,3010,"2007-05-17"
"Fun Run (Parts 1&2)",4,8.8,2826,"2007-09-27"
"Dunder Mifflin Infinity (Parts 1&2)",4,8.4,2248,"2007-10-04"
"Launch Party (Parts 1&2)",4,8.5,2173,"2007-10-11"
"Money (Parts 1&2)",4,8.7,2341,"2007-10-18"
"Local Ad",4,8.8,2388,"2007-10-25"
"Branch Wars",4,8.5,2185,"2007-11-01"
"Survivor Man",4,8.3,2110,"2007-11-08"
"The Deposition",4,8.7,2202,"2007-11-15"
"Dinner Party",4,9.3,4095,"2008-04-10"
"Chair Model",4,8.1,2095,"2008-04-17"
"Night Out",4,8.7,2179,"2008-04-24"
"Did I Stutter?",4,8.4,2087,"2008-05-01"
"Job Fair",4,7.9,1977,"2008-05-08"
"Goodbye, Toby (Parts 1&2)",4,9.3,3010,"2008-05-15"
"Weight Loss (Parts 1&2)",5,8.8,2501,"2008-09-25"
"Business Ethics",5,8.3,1990,"2008-10-09"
"Baby Shower",5,8.1,1954,"2008-10-16"
"Crime Aid",5,8.1,1884,"2008-10-23"
"Employee Transfer",5,8.1,1962,"2008-10-30"
"Customer Survey",5,8.5,2018,"2008-11-06"
"Business Trip",5,8.2,1867,"2008-11-13"
"Frame Toby",5,8.6,2089,"2008-11-20"
"The Surplus",5,8.7,2070,"2008-12-04"
"Moroccan Christmas",5,8.4,1951,"2008-12-11"
"The Duel",5,8.7,2011,"2009-01-15"
"Prince Family Paper",5,8.1,1954,"2009-01-22"
"Stress Relief (Parts 1&2)",5,9.6,5948,"2009-02-01"
"Lecture Circuit (Part 1)",5,8.2,1838,"2009-02-05"
"Lecture Circuit (Part 2)",5,8.2,1808,"2009-02-12"
"Blood Drive",5,8.1,1847,"2009-03-05"
"Golden Ticket",5,8.7,1987,"2009-03-12"
"New Boss",5,8.3,1875,"2009-03-19"
"Two Weeks",5,8.4,1864,"2009-03-26"
"Dream Team",5,8.3,1863,"2009-04-09"
"The Michael Scott Paper Company",5,8.7,2032,"2009-04-09"
